index	method	correct
4	multiplication_allcaps	0
5	multiplication_allcaps	0
6	multiplication_allcaps	0
7	multiplication_allcaps	0
8	multiplication_allcaps	0
9	multiplication_allcaps	0
10	multiplication_allcaps	0
11	multiplication_allcaps	0
12	multiplication_allcaps	0
13	multiplication_allcaps	0
14	multiplication_allcaps	0
15	multiplication_allcaps	0
16	multiplication_allcaps	0
17	multiplication_allcaps	0
18	multiplication_allcaps	0
19	multiplication_allcaps	0
20	multiplication_allcaps	0
21	multiplication_allcaps	0
22	multiplication_allcaps	0
23	multiplication_allcaps	0
24	multiplication_allcaps	0
25	multiplication_allcaps	0
26	multiplication_allcaps	0
27	multiplication_allcaps	0
28	multiplication_allcaps	0
29	multiplication_allcaps	0
30	multiplication_allcaps	0
31	multiplication_allcaps	0
32	multiplication_allcaps	0
33	multiplication_allcaps	0
34	multiplication_allcaps	0
35	multiplication_allcaps	0
36	multiplication_allcaps	0
37	multiplication_allcaps	0
38	multiplication_allcaps	0
39	multiplication_allcaps	0
40	multiplication_allcaps	0
41	multiplication_allcaps	0
42	multiplication_allcaps	0
43	multiplication_allcaps	0
44	multiplication_allcaps	0
45	multiplication_allcaps	0
46	multiplication_allcaps	0
47	multiplication_allcaps	0
48	multiplication_allcaps	0
49	multiplication_allcaps	0
50	multiplication_allcaps	0
51	multiplication_allcaps	0
52	multiplication_allcaps	0
53	multiplication_allcaps	0
54	multiplication_allcaps	0
55	multiplication_allcaps	0
56	multiplication_allcaps	0
57	multiplication_allcaps	0
58	multiplication_allcaps	0
59	multiplication_allcaps	0
60	multiplication_allcaps	0
61	multiplication_allcaps	0
62	multiplication_allcaps	0
63	multiplication_allcaps	0
64	multiplication_allcaps	0
65	multiplication_allcaps	0
66	multiplication_allcaps	0
67	multiplication_allcaps	0
68	multiplication_allcaps	0
69	multiplication_allcaps	0
70	multiplication_allcaps	0
71	multiplication_allcaps	0
72	multiplication_allcaps	0
73	multiplication_allcaps	0
74	multiplication_allcaps	0
75	multiplication_allcaps	0
76	multiplication_allcaps	0
77	multiplication_allcaps	0
78	multiplication_allcaps	0
79	multiplication_allcaps	0
80	multiplication_allcaps	0
81	multiplication_allcaps	0
82	multiplication_allcaps	0
83	multiplication_allcaps	0
84	multiplication_allcaps	0
85	multiplication_allcaps	0
86	multiplication_allcaps	0
87	multiplication_allcaps	0
88	multiplication_allcaps	0
89	multiplication_allcaps	0
90	multiplication_allcaps	0
91	multiplication_allcaps	0
92	multiplication_allcaps	0
93	multiplication_allcaps	0
94	multiplication_allcaps	0
95	multiplication_allcaps	0
96	multiplication_allcaps	0
97	multiplication_allcaps	0
98	multiplication_allcaps	0
99	multiplication_allcaps	0
0	multiplication_alternatingcaps	0
1	multiplication_alternatingcaps	0
2	multiplication_alternatingcaps	0
3	multiplication_alternatingcaps	0
4	multiplication_alternatingcaps	0
5	multiplication_alternatingcaps	0
6	multiplication_alternatingcaps	0
7	multiplication_alternatingcaps	0
8	multiplication_alternatingcaps	0
9	multiplication_alternatingcaps	0
10	multiplication_alternatingcaps	0
11	multiplication_alternatingcaps	0
12	multiplication_alternatingcaps	0
13	multiplication_alternatingcaps	0
14	multiplication_alternatingcaps	0
15	multiplication_alternatingcaps	0
16	multiplication_alternatingcaps	0
17	multiplication_alternatingcaps	0
18	multiplication_alternatingcaps	0
19	multiplication_alternatingcaps	0
20	multiplication_alternatingcaps	0
21	multiplication_alternatingcaps	0
22	multiplication_alternatingcaps	0
23	multiplication_alternatingcaps	0
24	multiplication_alternatingcaps	0
25	multiplication_alternatingcaps	0
26	multiplication_alternatingcaps	0
27	multiplication_alternatingcaps	0
28	multiplication_alternatingcaps	0
29	multiplication_alternatingcaps	0
30	multiplication_alternatingcaps	0
31	multiplication_alternatingcaps	0
32	multiplication_alternatingcaps	0
33	multiplication_alternatingcaps	0
34	multiplication_alternatingcaps	0
35	multiplication_alternatingcaps	0
36	multiplication_alternatingcaps	0
37	multiplication_alternatingcaps	0
38	multiplication_alternatingcaps	0
39	multiplication_alternatingcaps	0
40	multiplication_alternatingcaps	0
41	multiplication_alternatingcaps	0
42	multiplication_alternatingcaps	0
43	multiplication_alternatingcaps	0
44	multiplication_alternatingcaps	0
45	multiplication_alternatingcaps	0
46	multiplication_alternatingcaps	0
47	multiplication_alternatingcaps	0
48	multiplication_alternatingcaps	0
49	multiplication_alternatingcaps	0
50	multiplication_alternatingcaps	0
51	multiplication_alternatingcaps	0
52	multiplication_alternatingcaps	0
53	multiplication_alternatingcaps	0
54	multiplication_alternatingcaps	0
55	multiplication_alternatingcaps	0
56	multiplication_alternatingcaps	0
57	multiplication_alternatingcaps	0
58	multiplication_alternatingcaps	0
59	multiplication_alternatingcaps	0
60	multiplication_alternatingcaps	0
61	multiplication_alternatingcaps	0
62	multiplication_alternatingcaps	0
63	multiplication_alternatingcaps	0
64	multiplication_alternatingcaps	0
65	multiplication_alternatingcaps	0
66	multiplication_alternatingcaps	0
67	multiplication_alternatingcaps	0
68	multiplication_alternatingcaps	0
69	multiplication_alternatingcaps	0
70	multiplication_alternatingcaps	0
71	multiplication_alternatingcaps	0
72	multiplication_alternatingcaps	0
73	multiplication_alternatingcaps	0
74	multiplication_alternatingcaps	0
75	multiplication_alternatingcaps	0
76	multiplication_alternatingcaps	0
77	multiplication_alternatingcaps	0
78	multiplication_alternatingcaps	0
79	multiplication_alternatingcaps	0
80	multiplication_alternatingcaps	0
81	multiplication_alternatingcaps	0
82	multiplication_alternatingcaps	0
83	multiplication_alternatingcaps	0
84	multiplication_alternatingcaps	0
85	multiplication_alternatingcaps	0
86	multiplication_alternatingcaps	0
87	multiplication_alternatingcaps	0
88	multiplication_alternatingcaps	0
89	multiplication_alternatingcaps	0
90	multiplication_alternatingcaps	0
91	multiplication_alternatingcaps	0
92	multiplication_alternatingcaps	0
93	multiplication_alternatingcaps	0
94	multiplication_alternatingcaps	0
95	multiplication_alternatingcaps	0
96	multiplication_alternatingcaps	0
97	multiplication_alternatingcaps	0
98	multiplication_alternatingcaps	0
99	multiplication_alternatingcaps	0
