index	task	input	output	correct
68	conversion_ood_actualinverse	306	583.0	0
69	conversion_ood_actualinverse	439	822.0	1
70	conversion_ood_actualinverse	285	545.0	1
71	conversion_ood_actualinverse	275	527.0	1
72	conversion_ood_actualinverse	468	874.0	0
73	conversion_ood_actualinverse	507	945.0	1
74	conversion_ood_actualinverse	523	973.0	1
75	conversion_ood_actualinverse	462	864.0	0
76	conversion_ood_actualinverse	486	907.0	0
77	conversion_ood_actualinverse	377	711.0	0
78	conversion_ood_actualinverse	307	585.0	0
79	conversion_ood_actualinverse	324	615.0	0
80	conversion_ood_actualinverse	381	718.0	0
81	conversion_ood_actualinverse	415	779.0	0
82	conversion_ood_actualinverse	361	682.0	0
83	conversion_ood_actualinverse	534	993.0	0
84	conversion_ood_actualinverse	446	835.0	1
85	conversion_ood_actualinverse	526	979.0	1
86	conversion_ood_actualinverse	525	977.0	1
87	conversion_ood_actualinverse	369	696.0	0
88	conversion_ood_actualinverse	468	874.0	0
89	conversion_ood_actualinverse	301	574.0	0
90	conversion_ood_actualinverse	358	676.0	0
91	conversion_ood_actualinverse	345	653.0	0
92	conversion_ood_actualinverse	501	934.0	0
93	conversion_ood_actualinverse	425	797.0	1
94	conversion_ood_actualinverse	418	784.0	0
95	conversion_ood_actualinverse	284	543.0	0
96	conversion_ood_actualinverse	402	756.0	0
97	conversion_ood_actualinverse	275	527.0	1
98	conversion_ood_actualinverse	291	556.0	0
99	conversion_ood_actualinverse	361	682.0	0
0	conversion_ood_fakeinverse	627	909.0	0
1	conversion_ood_fakeinverse	483	707.0	0
2	conversion_ood_fakeinverse	343	511.0	0
3	conversion_ood_fakeinverse	674	975.0	0
4	conversion_ood_fakeinverse	686	991.0	0
5	conversion_ood_fakeinverse	673	973.0	0
6	conversion_ood_fakeinverse	636	921.0	0
7	conversion_ood_fakeinverse	552	804.0	0
8	conversion_ood_fakeinverse	497	727.0	0
9	conversion_ood_fakeinverse	388	574.0	0
10	conversion_ood_fakeinverse	447	657.0	0
11	conversion_ood_fakeinverse	372	552.0	0
12	conversion_ood_fakeinverse	586	851.0	0
13	conversion_ood_fakeinverse	676	977.0	0
14	conversion_ood_fakeinverse	536	781.0	0
15	conversion_ood_fakeinverse	653	945.0	0
16	conversion_ood_fakeinverse	569	828.0	0
17	conversion_ood_fakeinverse	551	802.0	0
18	conversion_ood_fakeinverse	422	622.0	0
19	conversion_ood_fakeinverse	456	669.0	0
20	conversion_ood_fakeinverse	401	592.0	0
21	conversion_ood_fakeinverse	357	531.0	0
22	conversion_ood_fakeinverse	494	723.0	0
23	conversion_ood_fakeinverse	623	903.0	0
24	conversion_ood_fakeinverse	343	511.0	0
25	conversion_ood_fakeinverse	634	919.0	0
26	conversion_ood_fakeinverse	483	707.0	0
27	conversion_ood_fakeinverse	364	541.0	0
28	conversion_ood_fakeinverse	359	534.0	0
29	conversion_ood_fakeinverse	402	594.0	0
30	conversion_ood_fakeinverse	568	826.0	0
31	conversion_ood_fakeinverse	655	948.0	0
32	conversion_ood_fakeinverse	637	923.0	0
33	conversion_ood_fakeinverse	674	975.0	0
34	conversion_ood_fakeinverse	677	979.0	0
35	conversion_ood_fakeinverse	506	739.0	0
36	conversion_ood_fakeinverse	539	786.0	0
37	conversion_ood_fakeinverse	582	846.0	0
38	conversion_ood_fakeinverse	353	525.0	0
39	conversion_ood_fakeinverse	525	766.0	0
40	conversion_ood_fakeinverse	681	984.0	0
41	conversion_ood_fakeinverse	512	748.0	0
42	conversion_ood_fakeinverse	465	682.0	0
43	conversion_ood_fakeinverse	653	945.0	0
44	conversion_ood_fakeinverse	591	858.0	0
45	conversion_ood_fakeinverse	484	709.0	0
46	conversion_ood_fakeinverse	403	595.0	0
47	conversion_ood_fakeinverse	505	738.0	0
48	conversion_ood_fakeinverse	563	819.0	0
49	conversion_ood_fakeinverse	677	979.0	0
50	conversion_ood_fakeinverse	357	531.0	0
51	conversion_ood_fakeinverse	587	853.0	0
52	conversion_ood_fakeinverse	619	898.0	0
53	conversion_ood_fakeinverse	619	898.0	0
54	conversion_ood_fakeinverse	358	532.0	0
55	conversion_ood_fakeinverse	491	718.0	0
56	conversion_ood_fakeinverse	356	529.0	0
57	conversion_ood_fakeinverse	366	543.0	0
58	conversion_ood_fakeinverse	345	514.0	0
59	conversion_ood_fakeinverse	686	991.0	0
60	conversion_ood_fakeinverse	629	912.0	0
61	conversion_ood_fakeinverse	581	844.0	0
62	conversion_ood_fakeinverse	591	858.0	0
63	conversion_ood_fakeinverse	407	601.0	0
64	conversion_ood_fakeinverse	433	637.0	0
65	conversion_ood_fakeinverse	343	511.0	0
66	conversion_ood_fakeinverse	366	543.0	0
67	conversion_ood_fakeinverse	624	905.0	0
68	conversion_ood_fakeinverse	394	583.0	0
69	conversion_ood_fakeinverse	565	822.0	0
70	conversion_ood_fakeinverse	367	545.0	0
71	conversion_ood_fakeinverse	354	527.0	0
72	conversion_ood_fakeinverse	602	874.0	0
73	conversion_ood_fakeinverse	653	945.0	0
74	conversion_ood_fakeinverse	673	973.0	0
75	conversion_ood_fakeinverse	595	864.0	0
76	conversion_ood_fakeinverse	626	907.0	0
77	conversion_ood_fakeinverse	486	711.0	0
78	conversion_ood_fakeinverse	396	585.0	0
79	conversion_ood_fakeinverse	417	615.0	0
80	conversion_ood_fakeinverse	491	718.0	0
81	conversion_ood_fakeinverse	534	779.0	0
82	conversion_ood_fakeinverse	465	682.0	0
83	conversion_ood_fakeinverse	687	993.0	0
84	conversion_ood_fakeinverse	574	835.0	0
85	conversion_ood_fakeinverse	677	979.0	0
86	conversion_ood_fakeinverse	676	977.0	0
87	conversion_ood_fakeinverse	475	696.0	0
88	conversion_ood_fakeinverse	602	874.0	0
89	conversion_ood_fakeinverse	388	574.0	0
90	conversion_ood_fakeinverse	461	676.0	0
91	conversion_ood_fakeinverse	444	653.0	0
92	conversion_ood_fakeinverse	645	934.0	0
93	conversion_ood_fakeinverse	547	797.0	0
94	conversion_ood_fakeinverse	538	784.0	0
95	conversion_ood_fakeinverse	366	543.0	0
96	conversion_ood_fakeinverse	518	756.0	0
97	conversion_ood_fakeinverse	354	527.0	0
98	conversion_ood_fakeinverse	375	556.0	0
99	conversion_ood_fakeinverse	465	682.0	0
