index	task	input	output	correct
76	conversion_actualinverse	118	244.0	0
77	conversion_actualinverse	441	826.0	0
78	conversion_actualinverse	87	189.0	0
79	conversion_actualinverse	295	563.0	0
80	conversion_actualinverse	407	765.0	0
81	conversion_actualinverse	406	763.0	0
82	conversion_actualinverse	421	790.0	0
83	conversion_actualinverse	253	487.0	0
84	conversion_actualinverse	450	842.0	0
85	conversion_actualinverse	126	259.0	0
86	conversion_actualinverse	202	396.0	0
87	conversion_actualinverse	384	723.0	0
88	conversion_actualinverse	454	849.0	0
89	conversion_actualinverse	498	928.0	0
90	conversion_actualinverse	320	608.0	0
91	conversion_actualinverse	171	340.0	0
92	conversion_actualinverse	337	639.0	0
93	conversion_actualinverse	91	196.0	0
94	conversion_actualinverse	301	574.0	0
95	conversion_actualinverse	350	662.0	0
96	conversion_actualinverse	128	262.0	0
97	conversion_actualinverse	533	991.0	0
98	conversion_actualinverse	56	133.0	0
99	conversion_actualinverse	237	459.0	0
0	conversion_fakeinverse	101	172.0	0
1	conversion_fakeinverse	20	59.0	0
2	conversion_fakeinverse	118	196.0	0
3	conversion_fakeinverse	636	921.0	0
4	conversion_fakeinverse	659	954.0	0
5	conversion_fakeinverse	152	244.0	0
6	conversion_fakeinverse	236	361.0	0
7	conversion_fakeinverse	677	979.0	0
8	conversion_fakeinverse	232	356.0	0
9	conversion_fakeinverse	165	262.0	0
10	conversion_fakeinverse	187	293.0	0
11	conversion_fakeinverse	236	361.0	0
12	conversion_fakeinverse	614	891.0	0
13	conversion_fakeinverse	258	392.0	0
14	conversion_fakeinverse	650	941.0	0
15	conversion_fakeinverse	552	804.0	0
16	conversion_fakeinverse	484	709.0	0
17	conversion_fakeinverse	197	307.0	0
18	conversion_fakeinverse	105	178.0	0
19	conversion_fakeinverse	300	451.0	0
20	conversion_fakeinverse	406	599.0	0
21	conversion_fakeinverse	653	945.0	0
22	conversion_fakeinverse	25	66.0	0
23	conversion_fakeinverse	169	268.0	0
24	conversion_fakeinverse	96	165.0	0
25	conversion_fakeinverse	250	381.0	0
26	conversion_fakeinverse	163	259.0	0
27	conversion_fakeinverse	56	109.0	0
28	conversion_fakeinverse	319	478.0	0
29	conversion_fakeinverse	679	982.0	0
30	conversion_fakeinverse	115	192.0	0
31	conversion_fakeinverse	446	655.0	0
32	conversion_fakeinverse	174	275.0	0
33	conversion_fakeinverse	659	954.0	0
34	conversion_fakeinverse	364	541.0	0
35	conversion_fakeinverse	457	671.0	0
36	conversion_fakeinverse	105	178.0	0
37	conversion_fakeinverse	396	585.0	0
38	conversion_fakeinverse	359	534.0	0
39	conversion_fakeinverse	12	48.0	0
40	conversion_fakeinverse	258	392.0	0
41	conversion_fakeinverse	268	406.0	0
42	conversion_fakeinverse	23	63.0	0
43	conversion_fakeinverse	597	867.0	0
44	conversion_fakeinverse	216	333.0	0
45	conversion_fakeinverse	42	90.0	0
46	conversion_fakeinverse	452	664.0	0
47	conversion_fakeinverse	96	165.0	0
48	conversion_fakeinverse	377	559.0	0
49	conversion_fakeinverse	33	77.0	0
50	conversion_fakeinverse	250	381.0	0
51	conversion_fakeinverse	299	450.0	0
52	conversion_fakeinverse	92	160.0	0
53	conversion_fakeinverse	240	367.0	0
54	conversion_fakeinverse	120	199.0	0
55	conversion_fakeinverse	299	450.0	0
56	conversion_fakeinverse	626	907.0	0
57	conversion_fakeinverse	41	88.0	0
58	conversion_fakeinverse	415	612.0	0
59	conversion_fakeinverse	25	66.0	0
60	conversion_fakeinverse	591	858.0	0
61	conversion_fakeinverse	209	324.0	0
62	conversion_fakeinverse	214	331.0	0
63	conversion_fakeinverse	41	88.0	0
64	conversion_fakeinverse	155	248.0	0
65	conversion_fakeinverse	184	289.0	0
66	conversion_fakeinverse	4	37.0	0
67	conversion_fakeinverse	573	833.0	0
68	conversion_fakeinverse	650	941.0	0
69	conversion_fakeinverse	439	646.0	0
70	conversion_fakeinverse	164	261.0	0
71	conversion_fakeinverse	349	520.0	0
72	conversion_fakeinverse	134	219.0	0
73	conversion_fakeinverse	197	307.0	0
74	conversion_fakeinverse	227	349.0	0
75	conversion_fakeinverse	492	720.0	0
76	conversion_fakeinverse	152	244.0	0
77	conversion_fakeinverse	568	826.0	0
78	conversion_fakeinverse	113	189.0	0
79	conversion_fakeinverse	380	563.0	0
80	conversion_fakeinverse	524	765.0	0
81	conversion_fakeinverse	523	763.0	0
82	conversion_fakeinverse	542	790.0	0
83	conversion_fakeinverse	326	487.0	0
84	conversion_fakeinverse	579	842.0	0
85	conversion_fakeinverse	163	259.0	0
86	conversion_fakeinverse	261	396.0	0
87	conversion_fakeinverse	494	723.0	0
88	conversion_fakeinverse	584	849.0	0
89	conversion_fakeinverse	641	928.0	0
90	conversion_fakeinverse	412	608.0	0
91	conversion_fakeinverse	221	340.0	0
92	conversion_fakeinverse	434	639.0	0
93	conversion_fakeinverse	118	196.0	0
94	conversion_fakeinverse	388	574.0	0
95	conversion_fakeinverse	451	662.0	0
96	conversion_fakeinverse	165	262.0	0
97	conversion_fakeinverse	686	991.0	0
98	conversion_fakeinverse	73	133.0	0
99	conversion_fakeinverse	306	459.0	0
