gpt-3.5-turbo_acronym1_highprob	gpt-3.5-turbo_acronym1_random	gpt-3.5-turbo_acronym2_highprob	gpt-3.5-turbo_acronym2_random	gpt-4_acronym1_highprob	gpt-4_acronym1_random	gpt-4_acronym2_highprob	gpt-4_acronym2_random
shopsc	edanc	trologshrtsutlatr	ooei	shops	edanc	shups	ototi
styled	rcafuea	tseet	gigeoct	styled	rcfauea	stperm	gigioc
convictions	ialjpmngcnu	crttnttntt	sdeiiphto	convictironsw	ialjpmngcnu	cosimttios	sslmaiuahea
subjectcities	oaptoeteli	sllbbtrctroe	isssrvee	subjective	oaptoerlie	susjeatise	issieeeeia
governes	rculpsael	gostnnsc	eeisssttst	governess	rculpsael	govenosse	eirstssta
camputs	srectens	cfmepa	grcjnrr	campus	srents	caiaus	gdvjhr
trianglese	tanolcohth	torinsglss	rroaomt	triangle	tanolcth	trrmsglss	tyalotbin
vessel	stimeo	vltstso	ccnnnk	vessel	sbiemo	veeael	ceaaai
viewpointer	eltoetersr	vocespsisvab	aeaeoeyo	viewpoint	eltotersr	vieooiat	aeaaensao
restponsiives	snrtmosspta	respommunasimvr	cnvnepvsi	responsive	snrtmospta	responuive	cnsvaseei
adorable	ehtoago	adoerblnd	ftfssr	adorable	ehtoagop	adoraiae	ffsomeic
pithchess	iseviltilt	pitsesc	yeeuus	pitches	iseitlt	pituaes	yycihin
swims	tdmcae	ywnm	essll	swims	tdcae	swima	espir
whenelde	ioradrv	whaeeeeee	roaeies	wheeled	ioradrv	wiaeees	rcryien
shading	rlneyb	ssheoig	wmdtobrtp	shading	rlnneyb	ssaditu	wduoiaia
idea	nget	idoa	eoohru	idea	nget	idea	edou
remainedaly	itiyorkyrntrta	roeebtskaylbn	tmoatrsre	remarrekably	iriokyrnta	remaokabay	tmlaetase
abandoned	eeessmi	afntoemn	ntshoeei	abandoned	eessminim	abdtmonri	naocvddsd
baton	lanco	beao	dnomg	baton	lanco	baaoa	dnuo
plaintif	rdsaehscvncc	pilnssrfae	rotestjtmsfoi	plaintif	rdsahsvnc	piaitriaf	rojtapobm
hare	nastdlate	heeretkss	aintses	harvest	nnasdle	haovesa	aaeeiau
solar	rardsr	sboanrpo	iriese	solar	rarrs	sopao	irice
cinematic	topslstet	crrnigbts	ncjorspoisiiir	cinetic	toplsstet	cisematia	njuoueiai
projecetions	iaeewdkasri	roljetominuas	smttfflgttmsmbln	projecstions	iaeewdkasri	prlocoicu	smavttsyin
begin	rrtds	bented	aepy	begin	rrtds	begin	apoha
popfulateld	aoaidtcoe	pouoouo	rcttstt	populated	aoaiadtaoe	pouoafueea	rasleitil
singer	sitcch	sssng	iaueuoo	singer	siitch	sindei	iaueuo
restide	cardskb	reliability	deiiti	reside	cardsk	reside	deiiat
parnking	escdaet	pamkigg	iyrjjdj	parking	escdate	paairng	iyaesde
trainscript	aoooaymazmapiicpr	rroaonmstn	iieeouoouo	transcripptions	aoooaymapiicpr	transcriptaonsrindes	imrsaseoraecoi
iterator taino	hlvarpsi	ihtnrsnnt	eiificaea	iteration	hlvarprsis	itnration	eslfiaeii
insterntrtigng	hooegrsi	insuredenvironmentsgriclture	prbsnraraso	inserting	hooegrssi	isseoaievi	spseeaoeo
incite	crrdft	iingte	itvss	incite	crrdft	inniyel	irayem
candnede	fioudm	conteloft	ntkemrni	canned	fioudm	canted	nayxiee
famouss	neutvelm	fnmbous	tlgvse	famous	neuvem	famoua	tgoume
molé	ptli	mite	armin	mole	ptli	mote	aasa
sticky	atekss	stieiy	dietone	sticky	atekss	sticis	ddeaoe
superiority	iuaasglaeiras	smttirfetn	aeiioeoi	superiority	iuasgleairs	sspeisoronea	aigoyeauulg
packeg	titrlsn	poaaicat	leissec	package	titrlsn	paaiaea	nlisoesa
inspiring anarchy tinobs	sacidrdristahas	ioniatrstltndscnanlysnaanc	sttjwqoif	inspirations	saidrdistaha	iuspieatious	sdcjuiuaeoei
disappointment	ponolalasatpe	dptnhtnbsnsmrtd	mbsnflahztrmgsbkd	disappointment	pokolasanitpe	disapeoitesiet	mnsckaeaoaeeoae
pictorial	ghrsaioms	pitspoooi	nhtcse	pictorial	ghrsaioms	pilaoeial	nmbceadieo
